,0
0,Nice
1,in complete order
2,good but not suggesting
3,Not delivered
4,الاكل ليس جيد
5,..
6,حلو وايد
7,سريع
8,ممتاز
9,😍
10,صرت اكره اطلب من طلبات بسبب التاخير
11,جيد
12,Bad
13,ت
14,tell restaurant to improve
15,I order with rice but delivered with bread
16,للاسف طلبك ناقص ليس كما في الصورة موضحه على سبيل المثال بصورة قطعتين دجاج لما استلمت قطعة واحدة ليس كما موضح في قائمة اختيارات ومبالغين بسعر القطعه الواحدة
17,املهم وايد حلورووووووو
18,كاتبين نصف دجاجه وهم حاطين نصف ورك و٢ لتر زيت
19,Very untaste food
20,لا يصلني الاكل يرجى التواصل معي
21,Perfect
22,ممتاز
23,ن
24,Very Good
25,Very Good
26,Baaaaaaaaad customer service from talabat office
27,ما حلو
28,The Quality of food very bad
29,the food was not tasty and the portion size was very little and not even a good balanced quantity
30,طلبت فرابيه كراميل مع القهوة والطعم غير جيد اطلاقا ارجو تحسين الجودة
31,"الاتيه وصل بااااارد , نوعية الأكل لازم تتحسن"
32,⭐⭐
33,للأسف بعض المطاعم والكافيهات يوصلون لنا طلبات غير عن اللي تم طلبهن
34,He miss the items
35,الطلبيه غلط / طالبه كيك وصلني مشروب بداله !!!!!!
36,Fast and delicious!
37,من كثر السكر الي في سبانش لاتيه ما قدرت اشربه !!
38,ممتازه
39,Excellent service
40,The food packaging was perfect
41,I loved how my order was packaged
42,رهيب
43,I was surprised of the amount of food !!! I was left hungry !! ... I used to order the same before but now the amount of food is decreased !
44,Good
45,😋😋
46,ًً
47,good
48,الاكل طيب 😋😋
49,Hi
50,الاكل طبخ بأيادي لذيذة والتغليف جبد جدا ولكن عندي ملاحظة مهمة جدا ! انا زبونة دائمة ولكن اي طلبات سندويتشات شوارما او حتى الصاروخ ! يجي بدون مخلل ! ياريت لو تحطوا مخلل لانه ماعتقد يخسر كثير بحجم الكمية اللي ترسلوها للشوارما العربي ! تفاصيل بسيطة تفرق عند الزبون وماتكلف صاحب المال
51,Very nice food 👍👍
52,excellent and absolutely delicious
53,ممتاز
54,طيب و وصل ف اقرب وقت بسبب زحمه
55,Loved it
56,-
57,Perfect
58,Thank you
59,The food is tasty and service is excellent👍🏻
60,الاكل لذيييذ😍😍😍
61,مطعم ممتاز ويستحق التجربه
62,The food took soooo long
63,
64,السعر مرتفع
65,Best
66,Love
67,Best coffee
68,Hi to much help full and kind
69,Best coffee ever
70,جيد
71,تم تجاهل ملاحظتي
72,I ordered an iced drink but it strived without a straw !
73,The coffee came cold
