,0
0,Tgabks
1,
2,No chiken in the paste and no sun dried tomato
3,Always great!
4,Na
5,"Penne pasta was not authentic, with sauce almost looking like a curry."
6,Cutlery was placed in the bags although we requested no cutlery. Too much plastic use is bad for the wnvironment
7,Good
8,Many thanks
9,Excellent pizza
10,"Amaizing pizza italiano, never failed us."
11,Food tasteless and much lower quality than usual...
12,كان ناقص خبز مع المعكرونه
13,Excellent! Enjoyed it
14,Many thanks
15,Great
16,Thank you 🙏🏼 Shukran
17,Extremely Salty - Anchovy taste was awful
18,The food was too cold
19,Hb
20,
21,Na
22,T
23,I got delivered the wrong order.
24,
25,حيد
26,Hh
27,Good
28,Tasty good meal.
29,The cookies were fresh and hot from starbucks
30,Amazinggg 👍👍👍👍
31,
32,خاب طني
33,Good
34,👍🏼💕
35,Okkkk
36,Good
37,Good
38,❤️‍🔥❤️‍🔥❤️‍🔥
39,👍🏼👍🏼
40,Talabat and the restaurant were very thorough in dealing with an ingredient problem and making sure I was a satisfied customer.
41,Very good
42,Awful
43,"They charged me extra for coconut milk, which wasnt included in the menu!"
44,He left the bag and went. Nobody called or rang the bell
45,Shoud have swnt watssap before calling
46,Good food
47,Fantastic sandwitch as always!! 🙌🏽🙌🏽 10/10
48,The dish had quite a lot of chilli in it which isnt mentioned on the menu. Otherwise it was nice.
49,شكرا وقومو بعمل الكثير من الخصومات و العروض
50,very good
51,
52,The sourdough here is the best
53,Love you Talabat ❤️
54,M
55,Best food
56,Beat food
57,Awesome
58,The best brakefast
59,Thanks
60,Fantastic
61,thanks was perfect
62,ن
63,Good
64,Very good
65,♥️♥️♥️👌🏻
66,"Delicious food and delievered really fast, thanks"
67,magenta
68,Very good
69,😀
70,"They forgot the sauce, chicken strips was like panadol but its okay"
71,Too much sauce
72,The food was soo bad.. never ordering from here ever again
73,Very good
74,.
75,Best in the world
76,The burger is overprised for that taste to br honest the beef was dry
77,"Not fresh and no taste! I will not order again, ever"
78,Good
79,كالعاده الاكل لذيذ
80,Not fresh food
81,👌🏻
82,The chicken in the shawarma was tooo crunchy and charred black
83,Very bad food
84,👍👍👍👍👍
85,👍
86,👍👍👍
87,👍🏻👍🏻
88,لا توجد
89,Chicken shawarma is the best
90,Ameer was very good!!
91,food is great
92,Good
93,Excellent
94,Very nice shawarma and tasty
95,Excellent
96,لاباس
97,اريد استرجاع المبلغ كامل
98,very goog
99,He didnt call me when he deliver my food he put in reception and leave without send me a message
100,￼
101,Wow
102,Missed item
103,🤤🤤🤤🤤🤤🤤
104,"كل الوجبات لذيذة، البرجر و قطع الدجاج و البطاطس. في علب ممتازة.
All meals ordered are delicious, burgers, chicken pop and fries. Packaging is excellent too."
105,مممتاززز
106,Chicken was overcooked and chewy with one piece of soggy lettuce.
107,Hi
108,Burger is really tasty but they need to work on the fries. The fries are very dry and tastes like it was made a few days ago
109,Best crispy chiken in town
110,Good food and service
111,The best chicken and fries ever 😋 😍..
112,The order DID NOT ARRIVE after nearly 3 hours of waiting!!!!
113,H
114,Food was fresh and testy .. the ludlow fries was yummy
115,.
116,The fries not hot .. it tasted like old fries
117,"الاكل لذييييذ
والتغليف راقي"
118,Best chicken and waffles!
119,ماحبيت الاكل ابدا
120,Order took too long to arrive and was cold
121,سيء لاحد يطلب وسعر مبالغ وجودة اقل من عادية اطلب من مطعم شعبي افضل ب مليون مره الاكل هذا الله يعز النعمة عنه  حتى لو مجاناً ماباخذه
122,
123,Some of the food was bad
124,Amazing service!
125,Excellent Food Delivered Quicklyand Efficiently
126,I didnt like that the restuarant does not send cutlery
127,Quantity was very less
128,Great!
129,bad test .. cold food .. not like the picture
130,Excellent!
131,It took 50 m to deleverd
132,الطعم اقل من عادي
133,الطلب غير مكتمل ونظام الدعم ف الطلبات تماطل معي وفي الاخر بعد الانتظار الطويل لحل المشكله تم اناهاء المحادثه من قبلهم فجأة ف وجهي
134,"Dont know what this shop has done to its portions but i thought it was some sick joke when i recieved my Bowl. The ""regular"" portion was nothing like it was before and comes in the most tiniest container !! Such a disappointment dont think ill be ordering from here again"
135,Good food!
136,
137,Nice food
138,Good food
139,😍😍😍
140,Really good
141,
142,Broken plastic cup with messy packaging. The juice leaked all out
143,Very good
144,Just talabat and their aweful service
145,Good
146,الاكل لذيذ
147,food was delicious! and arrived on time! Ive ordered multiple times and food is always so yum!
148,لذيييذ
149,Very disappointing i ordered spicy tuna and got
150,Fantastic pasta as usual 🙌🏽 always a pleasure
151,"I havent recieved any calls ot trxt from talabaat, its been more than an hour"
152,The chicken was too mushy like plastic. That was disappointing
153,"On time , correct delivered"
154,Exceptional food &amp; packaging
155,The Courtyard is one of my fave restaurants in Muscat - especially for breakfast. Their poached eggs with thr garlic labneh is something i crave constantly and its relatively wholesome as a meal. Desserts maybe not so much.
156,I liked their ceaser salad with shrimp.
157,Please contact the restaurant to deliver the missing item
158,Their fries and burger were too oily for my tasting . Though the chicken is grilled but was a tiny uncooked from the inside. Make sure you tell them to pole holes and have it cooked well
159,The eggs and veggies were tasteless
160,"The food packaging was perfect, I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
161,I felt I got great quality for the amount I paid
162,the worst not a trifel nor it has nutella waste of money
163,I was disappointed for not getting the soy souce with my order as how it is when you have it in restaurant also chop sticks
164,🙂
165,Item came  very cold
166,The price is high compared to the size of the Cinnabon pieces
167,Thanx for good service
168,The cinnabon was so dry n not fresh not as usual
169,.
170,❤️
171,🤩
172,G
173,Good
174,Yummooooo
175,ً
176,لا ملاحظات
177,I didnt recive my order
178,👌
179,Love it
180,wrong order!
181,الطعام غير طازج
182,As expected... The food is really amazing🥰highly recommended 💯
183,جميل جدا
184,السعر غالي و كمية جدا قليلة و طعم ليس ع قد السعر
185,Good
186,Coffe wasnt cover with foil .
187,..
188,good
189,The coffee was horrific
190,ثاني اسواء بيتزا في حياتي
191,The napkin was opend what's left in the bag tissue and spoon only next time u have 2 be sure every things is new and close
192,الباستا غير مستوية تماماً والكمة قليلة جداً مقارنه بالسعر
193,Good
194,"Forks and knifes were missig, always yummy foof"
195,B
196,"We have ordered Macchiato, and not deliecered right, only single shot of espresso was there"
197,رايت شعرة في الاكل
198,Crepe with fruit was much much better than this tasteless pancake
199,"Shrimp avocado sandwish is delicious ! Big pieces, fresh and tasty . Thank you !!"
200,البيض
201,I am not happy at all
202,D
203,
204,
205,The avocado croissant was really good. No regrets.
206,لذيذ جداا
207,ممتاذ اكلكم زين
208,لا انصح بهذا المطعم
209,رؤؤعه
210,Order delivered is wrong
211,I paid for coleslaw but not received.  Fajita is cold and Fattoush is hot!
212,very good quality of food. thank you
213,ممتاز
214,Very fast anf freindly drive.. all the best for him
215,food was so bad
216,الخبز عصص وبخيلين
217,Thanks
218,كل شي ممتاذ  قيمه مقابل سعر 😘
219,سنوديش الشاورما كله خبر و معجن. اسؤا ساندويش اكلته بحياتي.    العيران كله مي و مافيه طعمة لبن.
220,Good and clean food
221,ً
222,مشاء الله الاكل جميل تبارك الرحمن                 abo makkah
223,Thanks
224,الشاورما العربي الكمية قليلة جدا جدا جدا كساندوتش يعني مثل حجم شاورما صغير حرام ريالين و٥٠٠ علي حجم ساندوتش بالشكل ده اول واخر مرة
225,جيد جدا
226,Thanks
227,ت
228,Chicken Alana was burnt 😢
229,
230,the food was amazing .thanks darceys .
231,Keep it up
232,Very good
233,Excellent service
234,ممتاز
235,
236,Good
237,Ok
238,Brilliant
239,Good food
240,Great
241,
242,Solid
243,Excellent 🌟
244,Best
245,
246,Best food in muscat 👌
247,Great
248,"The starter was really good.

The carbonara and caprese were okay"
249,"The food was well packaged, arrived quickly, and tasted great! I will order from rhem!"
250,The food was tastless no flavour to it veey soggy and over priced for much meal
251,Delicious!
252,I would like my money yo be sent back
253,👍🏻
254,Time has to be adjusted in the app
255,الاكل طيب  مشاء الله ووصل بالوقت المحدد ❤️
256,شكرا ع الاكل اللذيذ  دمتم رائعين
257,الاكل جدا ممتاذ 👏👏
258,Hjj
259,Bad
260,ا
261,عادي
262,-
263,ممتاز
264,اكلهم عادي نجدر نحصله ف اي مطعم ثاني بسعر ارخص و كميه اكبر  ، بس اسعارهم غاليه و كمية الاكل ف المقابل قليله الصراحه
265,تأخر الطلب كثيرا من جهة الطلب...وكان الطلب ليس كما رأيت في الصورة ...الكمية جداااااا قليلة و السعر غالي ...والطعم لم يكن جيدا كما ظننت
266,Very dissapointed! The food arrived 2 hours after order was placed.!! When it came it was cold and the fries were already dry! J would nit order here again.
267,مشلتت بارد وعجينة كثيرة  والشاورما تفقد طعمها الأصلي
268,very late order
269,ممتاذ الاكل ماشاءالله
270,They changes the type of bread and the amount is less
271,"Excellent person who solved my issue,, Sharon"
272,ما شاءالله لاكل طيب
273,"Thank you for this delicios food, and for you amazing words that had put a smile on my face"
274,Good
275,"Had my lunch today m, and i must say Best EVER moujadara &amp; hendbeh !! Filful serves amazing quality and taste as always ."
276,Bad
277,
278,الأكل طعمه كأنه بائت ...طعم الأكل كان جدا سيء
279,Great food as always
280,Great!
281,Food was extremly bad it smelled and tated rotten. Everything eas very bad.
282,Great as akways
283,Delicious as always!
284,Good service
285,Excellent food
286,
287,Can u please contat me or make the resturant call me
288,The soup was a bit cold
289,لحم بعجين فلفل كان رائع
290,طلبيتي كانت مالها علاقة ابدا بـ شيش برك! :) Fake shish barak
291,All good
292,Food was ice cold by the time it arrived.
293,Order marked as delivered when actually not delivered
294,I didnt like ghe food
295,Very good food
296,the lamb chop was good the chicken grill taste not nice
297,The shawarma ordered was pricey for 600 bz and was awful and salty and did not taste lyk a shawarma!!!
298,Good
299,لم يهتموا بالملاحظات
300,V good
301,Good
302,شكرا
303,Excelent food &amp; services.
304,Ok
305,Ok
306,"Everything was excelent.  
Many thanks"
307,The sandwich was dry
308,جيّذ
