,0
0,Nice
1,in complete order
2,good but not suggesting
3,Not delivered
4,الاكل ليس جيد
5,..
6,حلو وايد
7,سريع
8,ممتاز
9,😍
10,صرت اكره اطلب من طلبات بسبب التاخير
11,جيد
12,Bad
13,ت
14,tell restaurant to improve
15,I order with rice but delivered with bread
16,للاسف طلبك ناقص ليس كما في الصورة موضحه على سبيل المثال بصورة قطعتين دجاج لما استلمت قطعة واحدة ليس كما موضح في قائمة اختيارات ومبالغين بسعر القطعه الواحدة
17,املهم وايد حلورووووووو
18,He didn't give me my change
19,الطلب ما وصلني !!!!!!
20,طلبت عيش مندي ووصلني قبولي .. وربع صدر دجاج صغير جدا 💔 ما راح اطلب مرة اخرى من هالمطعم
21,Good
22,Excellent
23,I didn't received my ordered at all
24,شكرا
25,اوكي
26,Good
27,Perfect 👍🏼
28,Very bad food.. money waste.. not fresh at all and the chicken with no taste
29,جيد جدا
30,سكرا
31,"Small portion , not good"
32,لاباس
33,المندوب كثير متعاون
34,"The meal wmis not like what I order. I ordered half chicken, but I recieved quarter , leg and wing!"
35,الاكل طيب
36,رهيب
37,I was surprised of the amount of food !!! I was left hungry !! ... I used to order the same before but now the amount of food is decreased !
38,Good
39,😋😋
40,ًً
41,good
42,الاكل طيب 😋😋
43,Hi
44,الاكل طبخ بأيادي لذيذة والتغليف جبد جدا ولكن عندي ملاحظة مهمة جدا ! انا زبونة دائمة ولكن اي طلبات سندويتشات شوارما او حتى الصاروخ ! يجي بدون مخلل ! ياريت لو تحطوا مخلل لانه ماعتقد يخسر كثير بحجم الكمية اللي ترسلوها للشوارما العربي ! تفاصيل بسيطة تفرق عند الزبون وماتكلف صاحب المال
45,Very nice food 👍👍
46,excellent and absolutely delicious
47,ممتاز
48,طيب و وصل ف اقرب وقت بسبب زحمه
49,Loved it
50,-
51,Perfect
52,Thank you
53,The food is tasty and service is excellent👍🏻
54,Nice food
55,الفطائر جيدة لشكل عام ولكن فطيرة لم يتم اضافة الزعتر بكمية مقبولة في الفطيرة!!
56,المشلتت يابس الجبن مو كرافت وكميه بسيطه معظم الامشلتت فاضي تقييمي 0/10
57,ممتاز
58,الطلب فاشل 💔😔
59,ر
60,ممتاز
61,"المطعم ممتاز جدا. من جميع النواحي 
الاكل لذيذ ويوصل سريع ويصلك ساخن"
62,
63,جيد جدا
64,Good
65,كل الشكر لكم
66,ممتاز
67,Amazing
68,طعم الكشري بايت
69,"Wasnt as i orderd 
Somthing was missing"
70,Ok
71,جميل وساخن
72,Good
73,💕💕💕
