,0
0,T
1,I got delivered the wrong order.
2,
3,حيد
4,Hh
5,Good
6,Tasty good meal.
7,The cookies were fresh and hot from starbucks
8,Amazinggg 👍👍👍👍
9,
10,خاب طني
11,Good
12,👍🏼💕
13,Okkkk
14,Good
15,Good
16,❤️‍🔥❤️‍🔥❤️‍🔥
17,I asked for different flavoured crisps do not like chilli flavour
18,your riders keep asking for a picture of the building. I suggest to implement this in the app.
19,Quarelling
20,"Bread was not fresh at all, and small little chicken pieces , no suace tast"
21,رؤؤعه
22,Order delivered is wrong
23,I paid for coleslaw but not received.  Fajita is cold and Fattoush is hot!
24,very good quality of food. thank you
25,ممتاز
26,Very fast anf freindly drive.. all the best for him
27,food was so bad
28,الخبز عصص وبخيلين
29,Thanks
30,كل شي ممتاذ  قيمه مقابل سعر 😘
31,سنوديش الشاورما كله خبر و معجن. اسؤا ساندويش اكلته بحياتي.    العيران كله مي و مافيه طعمة لبن.
32,Good and clean food
33,ً
34,مشاء الله الاكل جميل تبارك الرحمن                 abo makkah
35,Thanks
36,الشاورما العربي الكمية قليلة جدا جدا جدا كساندوتش يعني مثل حجم شاورما صغير حرام ريالين و٥٠٠ علي حجم ساندوتش بالشكل ده اول واخر مرة
37,جيد جدا
38,Thanks
39,Good
40,جيد جداً
41,الخدمه ممتازه والطعم لذيذ
42,👍🏻
43,Time has to be adjusted in the app
44,الاكل طيب  مشاء الله ووصل بالوقت المحدد ❤️
45,شكرا ع الاكل اللذيذ  دمتم رائعين
46,الاكل جدا ممتاذ 👏👏
47,Hjj
48,Bad
49,ا
50,عادي
51,-
52,ممتاز
53,اكلهم عادي نجدر نحصله ف اي مطعم ثاني بسعر ارخص و كميه اكبر  ، بس اسعارهم غاليه و كمية الاكل ف المقابل قليله الصراحه
54,تأخر الطلب كثيرا من جهة الطلب...وكان الطلب ليس كما رأيت في الصورة ...الكمية جداااااا قليلة و السعر غالي ...والطعم لم يكن جيدا كما ظننت
55,Very dissapointed! The food arrived 2 hours after order was placed.!! When it came it was cold and the fries were already dry! J would nit order here again.
56,مشلتت بارد وعجينة كثيرة  والشاورما تفقد طعمها الأصلي
57,very late order
58,ممتاذ الاكل ماشاءالله
59,They changes the type of bread and the amount is less
60,"Excellent person who solved my issue,, Sharon"
61,ما شاءالله لاكل طيب
62,"Thank you for this delicios food, and for you amazing words that had put a smile on my face"
63,ت
64,Chicken Alana was burnt 😢
65,
66,the food was amazing .thanks darceys .
67,Keep it up
68,Very good
69,Excellent service
70,ممتاز
71,
72,Good
73,Ok
74,Brilliant
75,Good food
76,Great
77,
78,Solid
79,Excellent 🌟
80,Best
81,
82,Best food in muscat 👌
83,Great
84,Good
85,"Had my lunch today m, and i must say Best EVER moujadara &amp; hendbeh !! Filful serves amazing quality and taste as always ."
86,Bad
87,
88,الأكل طعمه كأنه بائت ...طعم الأكل كان جدا سيء
89,Great food as always
90,Great!
91,Food was extremly bad it smelled and tated rotten. Everything eas very bad.
92,Great as akways
93,Delicious as always!
94,Good service
95,Excellent food
96,
97,Can u please contat me or make the resturant call me
98,The soup was a bit cold
99,لحم بعجين فلفل كان رائع
100,طلبيتي كانت مالها علاقة ابدا بـ شيش برك! :) Fake shish barak
101,All good
102,Food was ice cold by the time it arrived.
103,Order marked as delivered when actually not delivered
104,I didnt like ghe food
105,🙂
106,Item came  very cold
107,The price is high compared to the size of the Cinnabon pieces
108,Thanx for good service
109,The cinnabon was so dry n not fresh not as usual
110,.
111,❤️
112,🤩
113,G
114,Good
115,Yummooooo
116,ً
117,لا ملاحظات
118,I didnt recive my order
119,👌
120,Love it
121,wrong order!
122,الطعام غير طازج
123,As expected... The food is really amazing🥰highly recommended 💯
124,جميل جدا
125,السعر غالي و كمية جدا قليلة و طعم ليس ع قد السعر
126,رؤؤعه
127,Order delivered is wrong
128,I paid for coleslaw but not received.  Fajita is cold and Fattoush is hot!
129,very good quality of food. thank you
130,ممتاز
131,Very fast anf freindly drive.. all the best for him
132,food was so bad
133,الخبز عصص وبخيلين
134,Thanks
135,كل شي ممتاذ  قيمه مقابل سعر 😘
136,سنوديش الشاورما كله خبر و معجن. اسؤا ساندويش اكلته بحياتي.    العيران كله مي و مافيه طعمة لبن.
137,Good and clean food
138,ً
139,مشاء الله الاكل جميل تبارك الرحمن                 abo makkah
140,Thanks
141,الشاورما العربي الكمية قليلة جدا جدا جدا كساندوتش يعني مثل حجم شاورما صغير حرام ريالين و٥٠٠ علي حجم ساندوتش بالشكل ده اول واخر مرة
142,جيد جدا
143,Thanks
144,Good
145,جيد جداً
146,الخدمه ممتازه والطعم لذيذ
147,the lamb chop was good the chicken grill taste not nice
148,The shawarma ordered was pricey for 600 bz and was awful and salty and did not taste lyk a shawarma!!!
149,Good
150,لم يهتموا بالملاحظات
151,V good
152,Good
153,شكرا
154,Excelent food &amp; services.
155,Ok
156,Ok
157,"Everything was excelent.  
Many thanks"
158,The sandwich was dry
159,جيّذ
160,"shawarma for 1.5 riyal with no pickles , nothing"
161,Food not tasty
162,i ordered beef shawarma and they have given chicken shawarma
163,طلبت شوارما وفيها واجد زيت وجافة ما فيها طحينة
164,Good
165,Yum yum
166,ممتاز
167,مطعم لذيذ وجداً رائع
168,🦋
169,azing
170,Good
171,"Food arrived hot and fast, quality was amazing"
172,Best tasting falafel
173,Good
174,Good
175,The cheese was not as good as last time
176,طلبت فلافل كان لذيذ وصوص الطحينيّة جيّد. عيب فلافلهم الوحيد انه مقلي فقط ، اتمنى يكون في خيارات مشويّة
177,Reduce the
178,وصول سريع
179,لذييييذ
180,Great
181,Thx
182,منقوشة الزعتر محترقه!
183,رائع
184,The food is not hot it seems like your qulity of delivering fresh hot food is becoming lower 👎🏻
185,شكرا لكم
186,"Great food , my colleauges at work loved it . Thanks"
187,ياريت حبه الفلافل تكون أكبر 😎
188,The food was really good and the akawi cheese fatayer tasted super good and fresh. the salami and cheese kaak was ok nothing special. I think cheese kaak would be better. It took time to reach but on the bright side was fresh and hot
189,رئع
190,الحمدلله
191,Bbcckogvuvh
192,حمدالله
193,
194,Thanks
195,ت
196,M
197,استغفرالله .. الحمدلله .. لا إله الا االله ..االله اكبر 🤍 اللهم صل وسلم على سيدنا محمد 🤍
198,V
